softskill_url,title-softskill,organization,place_city,tags,date_start,date_end
https://www.indorelawan.org/o/activity/search,mentor untuk remaja panti mbmp,Yayasan Muda Berdaya Bersama,Kota Administrasi Jakarta Selatan,"['', ' Pendidikan', ' Pengembangan Anak Muda']",3 June 2023,3 June 2023
https://www.indorelawan.org/o/activity/search,walk in your path berdamai dengan keadaan,Manupsia,Webinar,"['', ' Kesehatan', ' Pengembangan Anak Muda']",27 May 2023,27 May 2023
https://www.indorelawan.org/o/activity/search,open recruitment markapada vol,Markapada,Aktivitas Virtual,"['Project', ' Lingkungan', ' Kepemimpinan& Organisasi']",13 May 2023 ,13 May 2023 
https://www.indorelawan.org/o/activity/search,open recruitment superyouth,Youth For Nation,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",15 May 2023 ,15 May 2023 
https://www.indorelawan.org/o/activity/search,trainer nasional prbencana angkatan,PetaBencana.id,Aktivitas Virtual,"['', ' Penanggulangan Bencana', ' Pengembangan Masyarakat']",16 June 2023,16 June 2023
https://www.indorelawan.org/o/activity/search,sébentala pioneer,Sébentala,Aktivitas Virtual,"['Project', ' Lingkungan', ' Pendidikan']",12 June 2023 ,12 June 2023 
https://www.indorelawan.org/o/activity/search,duta kurangi risiko bencana yayasan peta bencana,PetaBencana.id,Aktivitas Virtual,"['Project', ' Kepemimpinan& Organisasi', ' Penanggulangan Bencana']",8 May 2023 ,8 May 2023 
https://www.indorelawan.org/o/activity/search,relawan wish festival jakarta,Indonesia Scholarship Center,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",1 September 2023 ,1 September 2023 
https://www.indorelawan.org/o/activity/search,relawan wish festival riau,Indonesia Scholarship Center,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",1 September 2023 ,1 September 2023 
https://www.indorelawan.org/o/activity/search,relawan wish festival lampung,Indonesia Scholarship Center,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",1 September 2023 ,1 September 2023 
https://www.indorelawan.org/o/activity/search,relawan wish festival sumatera selatan,Indonesia Scholarship Center,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",1 September 2023 ,1 September 2023 
https://www.indorelawan.org/o/activity/search,relawan wish festival sumatera utara,Indonesia Scholarship Center,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",1 September 2023 ,1 September 2023 
https://www.indorelawan.org/o/activity/search,relawan wish festival kalimantan timur,Indonesia Scholarship Center,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",1 September 2023 ,1 September 2023 
https://www.indorelawan.org/o/activity/search,relawan wish festival kalimantan barat,Indonesia Scholarship Center,Aktivitas Virtual,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",1 September 2023 ,1 September 2023 
